OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Transfer,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,31.5,other,Tan
Adoption,Cat,Neutered Male,364.0,Domestic Shorthair Mix,Orange Tabby
Adoption,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Neutered Male,572.0,Labrador Retriever Mix,Chocolate
Return_to_owner,Dog,Neutered Male,104.0,Pit Bull Mix,Red/White
Transfer,Dog,Intact Male,104.0,other,Black/White
Transfer,Cat,Intact Male,4.5,Domestic Medium Hair Mix,Orange Tabby/White
Transfer,Cat,Neutered Male,208.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Dog,Intact Female,208.0,other,other
Adoption,Dog,Spayed Female,104.0,Pit Bull Mix,Fawn/White
Transfer,Dog,Intact Female,18.0,Pit Bull Mix,Blue/White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,other
Euthanasia,Dog,Neutered Male,52.0,Catahoula Mix,White
Return_to_owner,Dog,Spayed Female,364.0,other,other
Transfer,Dog,Neutered Male,416.0,Labrador Retriever Mix,Chocolate
Euthanasia,Dog,Neutered Male,676.0,other,Brown/Black
Transfer,Cat,Intact Male,9.0,Domestic Shorthair,other
Transfer,Dog,Spayed Female,260.0,Chihuahua Shorthair Mix,Brown/White
Adoption,Dog,Spayed Female,9.0,Australian Shepherd Mix,White/Black
Adoption,Dog,Neutered Male,52.0,other,Tan
Return_to_owner,Dog,Intact Female,3.0,Pit Bull Mix,Black/White
Adoption,Dog,Neutered Male,9.0,other,Tan/White
Transfer,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,other
Adoption,Dog,Spayed Female,52.0,Labrador Retriever Mix,Tan/White
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Blue/White
Return_to_owner,Dog,Neutered Male,208.0,Labrador Retriever Mix,Black/White
Transfer,Dog,Intact Male,18.0,Pit Bull Mix,White
Adoption,Dog,Spayed Female,208.0,German Shepherd Mix,White
Adoption,Dog,Neutered Male,45.0,Catahoula Mix,Tan/White
Transfer,Cat,Intact Female,104.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Intact Female,22.5,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Neutered Male,104.0,other,White/Brown Brindle
Adoption,Dog,Spayed Female,52.0,Australian Cattle Dog Mix,Tricolor
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,other
Euthanasia,Dog,Intact Male,45.0,other,other
Transfer,Dog,Intact Male,27.0,Pit Bull Mix,White/Black
Transfer,Dog,Spayed Female,49.5,other,other
Transfer,Cat,Spayed Female,104.0,Domestic Medium Hair Mix,Black/White
Adoption,Dog,Neutered Male,9.0,other,Tan/Black
Transfer,Dog,Neutered Male,364.0,Chihuahua Shorthair Mix,Tan
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,White
Return_to_owner,Dog,Neutered Male,104.0,Chihuahua Longhair Mix,Brown
Transfer,Dog,Neutered Male,104.0,German Shepherd Mix,Tan/Black
Adoption,Dog,Spayed Female,4.5,Labrador Retriever Mix,other
Transfer,Cat,Intact Female,3.0,Siamese Mix,other
Transfer,Cat,Intact Female,104.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Spayed Female,4.5,Yorkshire Terrier Mix,Black/Tan
Adoption,Dog,Neutered Male,36.0,Australian Cattle Dog Mix,other
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,White/Blue
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Black/White
Adoption,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Spayed Female,52.0,Miniature Poodle Mix,White
Adoption,Dog,Spayed Female,9.0,other,Tricolor
Adoption,Dog,Neutered Male,52.0,American Bulldog Mix,Brown/White
Transfer,Dog,Neutered Male,9.0,other,Tricolor
Return_to_owner,Dog,Neutered Male,52.0,Catahoula Mix,other
Return_to_owner,Dog,Intact Female,52.0,Pit Bull Mix,Brown/White
Adoption,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,White
Adoption,Dog,Neutered Male,260.0,Dachshund Mix,Brown/Black
Return_to_owner,Dog,Spayed Female,780.0,Chihuahua Shorthair Mix,Tan
Euthanasia,Dog,Neutered Male,572.0,other,Black/White
Transfer,Cat,Intact Male,2.0,Domestic Shorthair Mix,White
Transfer,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,White/Black
Return_to_owner,Dog,Neutered Male,52.0,Pit Bull Mix,White
Transfer,Dog,Intact Male,27.0,Catahoula Mix,other
Adoption,Dog,Spayed Female,52.0,other,Tricolor
Adoption,Dog,Neutered Male,4.5,other,Black/Brown
Euthanasia,Cat,Intact Female,104.0,Domestic Shorthair Mix,Torbie
Return_to_owner,Dog,Neutered Male,260.0,Chihuahua Longhair Mix,Tan/White
Return_to_owner,Dog,Neutered Male,416.0,Dachshund Mix,Brown
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Blue Tabby
Euthanasia,Dog,Neutered Male,156.0,other,Tan/Black
Transfer,Dog,Spayed Female,104.0,Border Collie Mix,Black/White
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Tortie
Return_to_owner,Dog,Spayed Female,780.0,Labrador Retriever Mix,Yellow
Return_to_owner,Cat,Neutered Male,260.0,other,other
Transfer,Dog,Spayed Female,18.0,Labrador Retriever Mix,Black/White
Adoption,Dog,Neutered Male,208.0,other,Red
Adoption,Dog,Spayed Female,13.5,Pit Bull Mix,Blue/White
Return_to_owner,Dog,Intact Male,104.0,other,Black/Tan
Adoption,Dog,Neutered Male,9.0,Labrador Retriever Mix,Brown
Adoption,Dog,Spayed Female,4.5,other,Black/White
Adoption,Dog,Spayed Female,52.0,other,Red
Adoption,Dog,Spayed Female,36.0,Chihuahua Shorthair Mix,Buff
Transfer,Cat,Intact Female,104.0,Domestic Longhair Mix,Tortie
Adoption,Dog,Neutered Male,22.5,other,Brown
Return_to_owner,Dog,Neutered Male,52.0,American Bulldog Mix,White/Brown Brindle
Transfer,Dog,Spayed Female,208.0,Beagle Mix,Tricolor
Transfer,Dog,Intact Female,208.0,other,Tan/Black
Transfer,Cat,Intact Male,4.5,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Neutered Male,9.0,German Shepherd Mix,Tan/Black
Transfer,Dog,Spayed Female,104.0,Miniature Schnauzer Mix,other
Adoption,Dog,Neutered Male,416.0,Siberian Husky Mix,Brown/White
Return_to_owner,Dog,Spayed Female,9.0,Pit Bull Mix,Brown Brindle/White
Transfer,Dog,Intact Male,4.5,Shih Tzu Mix,White/Black
Return_to_owner,Dog,Spayed Female,520.0,other,Tan
Return_to_owner,Dog,Intact Female,156.0,other,Tan/White
Transfer,Cat,Spayed Female,156.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Spayed Female,9.0,Domestic Longhair Mix,Calico
Transfer,Dog,Spayed Female,52.0,other,Tan/White
Adoption,Dog,Spayed Female,52.0,Labrador Retriever Mix,Brown/White
Transfer,Dog,Spayed Female,520.0,other,Black/Brown
Euthanasia,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Tortie
Adoption,Dog,Neutered Male,104.0,German Shepherd Mix,Black/White
Adoption,Dog,Spayed Female,4.5,Rottweiler Mix,Black/Tan
Transfer,Dog,Spayed Female,18.0,Australian Cattle Dog Mix,Black/White
Return_to_owner,Dog,Spayed Female,520.0,Rat Terrier Mix,White/Brown
Adoption,Cat,Intact Female,9.0,Domestic Shorthair Mix,Black/White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Tortie
Adoption,Dog,Neutered Male,156.0,Rottweiler Mix,Black/Brown
Transfer,Dog,Spayed Female,260.0,other,White/Black
Adoption,Cat,Neutered Male,260.0,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Dog,Spayed Female,728.0,Boxer Mix,Tan/White
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,Torbie
Euthanasia,Dog,Spayed Female,208.0,Pit Bull Mix,Blue/White
Adoption,Dog,Spayed Female,9.0,other,other
Adoption,Dog,Spayed Female,13.5,other,Brown/White
Transfer,Dog,Spayed Female,49.5,Siberian Husky Mix,White/Black
Adoption,Dog,Spayed Female,40.5,Chihuahua Longhair Mix,Brown/Black
Adoption,Dog,Spayed Female,104.0,Pit Bull Mix,Blue/White
Transfer,Dog,Intact Female,22.5,German Shepherd Mix,Tricolor
Transfer,Dog,Neutered Male,364.0,Beagle Mix,Tricolor
Adoption,Dog,Neutered Male,104.0,other,White
Euthanasia,Cat,Intact Female,52.0,Domestic Shorthair Mix,Blue/White
Transfer,Cat,Neutered Male,13.5,Domestic Shorthair Mix,Black/White
Adoption,Dog,Neutered Male,156.0,Rottweiler Mix,Black/Brown
Transfer,Dog,Spayed Female,312.0,Labrador Retriever Mix,Brown/Black
Adoption,Cat,Neutered Male,36.0,Domestic Shorthair Mix,other
Transfer,Dog,Neutered Male,156.0,Pit Bull Mix,other
Adoption,Dog,Spayed Female,416.0,Chihuahua Shorthair Mix,other
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Tortie
Transfer,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,Red/White
Adoption,Dog,Neutered Male,104.0,other,Black/White
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,Dog,Neutered Male,312.0,other,Brown
Transfer,Dog,Intact Female,9.0,other,Black
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,Cat,Spayed Female,208.0,other,White
Adoption,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Black
Transfer,Dog,Intact Male,104.0,Chihuahua Shorthair Mix,Yellow
Transfer,Dog,Spayed Female,260.0,Labrador Retriever Mix,Tan
Adoption,Dog,Spayed Female,22.5,Chihuahua Longhair Mix,Tan/White
Transfer,Cat,Spayed Female,260.0,Domestic Shorthair Mix,other
Return_to_owner,Dog,Neutered Male,52.0,Catahoula Mix,other
Return_to_owner,Dog,Neutered Male,728.0,other,Black/White
Adoption,Dog,Spayed Female,104.0,Pit Bull Mix,Brown
Adoption,Dog,Spayed Female,104.0,Chihuahua Shorthair Mix,Red/White
Return_to_owner,Dog,Neutered Male,104.0,Australian Shepherd Mix,Brown Brindle
Transfer,Dog,Intact Male,9.0,other,other
Euthanasia,Dog,Intact Female,104.0,other,Chocolate/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Spayed Female,416.0,Chihuahua Shorthair Mix,Black/White
Transfer,Dog,Spayed Female,156.0,Siberian Husky Mix,Black/White
Transfer,Dog,Intact Female,27.0,other,Tan/White
Transfer,Cat,Intact Male,9.0,Domestic Medium Hair Mix,Orange Tabby/White
Adoption,Cat,Spayed Female,9.0,Domestic Longhair Mix,Blue Tabby/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Blue/White
Euthanasia,Dog,Intact Female,260.0,other,other
Transfer,Dog,Spayed Female,156.0,other,Tan/Black
Adoption,Dog,Neutered Male,52.0,other,other
Adoption,Dog,Neutered Male,52.0,other,other
Return_to_owner,Dog,Neutered Male,520.0,other,Red
Adoption,Dog,Spayed Female,260.0,other,Black/Brown
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Dog,Intact Female,18.0,other,Black/Tan
Adoption,Dog,Neutered Male,156.0,Pit Bull Mix,other
Euthanasia,Dog,Intact Male,364.0,Chihuahua Shorthair Mix,Brown/White
Euthanasia,Dog,Intact Female,104.0,other,Black/Tan
Transfer,Cat,Intact Female,18.0,other,Black/White
Transfer,Dog,Intact Male,13.5,other,Tricolor
Return_to_owner,Dog,Spayed Female,676.0,other,other
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Dog,Neutered Male,104.0,other,Sable
Adoption,Dog,Neutered Male,104.0,Pit Bull Mix,Chocolate/White
Transfer,Dog,Intact Male,1.0,Australian Cattle Dog Mix,other
Return_to_owner,Dog,Neutered Male,52.0,other,Chocolate/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black/White
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,other
Return_to_owner,Dog,Spayed Female,208.0,Labrador Retriever Mix,Chocolate/White
Adoption,Dog,Spayed Female,13.5,other,White/Black
Transfer,Cat,Intact Female,9.0,Domestic Medium Hair Mix,Blue Tabby
Return_to_owner,Dog,Intact Male,676.0,Labrador Retriever Mix,Yellow
Transfer,Cat,Intact Male,4.5,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Neutered Male,416.0,Domestic Shorthair Mix,Black
Adoption,Dog,Neutered Male,104.0,Australian Cattle Dog Mix,Black/White
Transfer,Cat,Neutered Male,40.5,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Intact Male,156.0,other,Tan
Transfer,Dog,Intact Male,156.0,other,White/Brown
Return_to_owner,Dog,Spayed Female,156.0,Labrador Retriever Mix,Tan
Adoption,Cat,Neutered Male,104.0,Domestic Shorthair Mix,White
Adoption,Cat,Spayed Female,4.5,Domestic Shorthair,Brown Tabby/White
Return_to_owner,Dog,Neutered Male,416.0,other,Black/Brown
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,Blue Tabby/White
Return_to_owner,Dog,Intact Male,18.0,Labrador Retriever Mix,Black
Transfer,Dog,Intact Male,156.0,other,other
Adoption,Dog,Spayed Female,36.0,Boxer Mix,Brown/Black
Adoption,Dog,Spayed Female,13.5,German Shepherd Mix,Tan
Transfer,Cat,Intact Male,9.0,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,Dog,Intact Male,572.0,other,White/Tan
Return_to_owner,Dog,Intact Female,52.0,Pit Bull Mix,Blue/White
Transfer,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Intact Male,2.0,Domestic Shorthair Mix,Blue
Return_to_owner,Cat,Spayed Female,104.0,Domestic Medium Hair Mix,Brown Tabby
Transfer,Dog,Intact Male,18.0,other,Blue/White
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Calico
Transfer,Cat,Intact Male,9.0,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,9.0,other,Tricolor
Transfer,Dog,Intact Female,364.0,Shih Tzu Mix,other
Euthanasia,Cat,Intact Male,52.0,Domestic Shorthair Mix,Blue Tabby/White
Adoption,Dog,Spayed Female,9.0,Pit Bull Mix,Brown Brindle/White
Transfer,Dog,Neutered Male,52.0,Cairn Terrier Mix,White
Transfer,Dog,Neutered Male,520.0,Australian Cattle Dog Mix,other
Return_to_owner,Dog,Neutered Male,676.0,other,other
Return_to_owner,Dog,Spayed Female,312.0,Chihuahua Shorthair Mix,Brown/White
Transfer,Dog,Neutered Male,104.0,Pit Bull Mix,Blue/White
Transfer,Dog,Neutered Male,780.0,Labrador Retriever Mix,Tan
Euthanasia,Dog,Intact Male,104.0,other,Black
Euthanasia,Cat,Intact Male,4.5,Domestic Shorthair Mix,Black
Adoption,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Tortie
Transfer,Dog,Intact Male,156.0,Chihuahua Shorthair Mix,Tan
Adoption,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Cat,Neutered Male,208.0,Siamese Mix,Brown Tabby/White
Return_to_owner,Dog,Intact Male,208.0,Chihuahua Shorthair Mix,Tan/White
Adoption,Dog,Neutered Male,416.0,Miniature Poodle Mix,other
Transfer,Cat,Intact Male,2.0,Domestic Shorthair Mix,Black
Transfer,Dog,Intact Female,520.0,other,Tricolor
Adoption,Dog,Spayed Female,104.0,other,Black/Tan
Return_to_owner,Dog,Neutered Male,156.0,other,Brown
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Spayed Female,520.0,Labrador Retriever Mix,Black/White
Return_to_owner,Dog,Neutered Male,104.0,Rottweiler Mix,Black/Tan
Transfer,Dog,Intact Male,4.5,other,Black
Transfer,Dog,Spayed Female,364.0,Pit Bull Mix,Brown/White
Return_to_owner,Dog,Neutered Male,260.0,Chihuahua Shorthair Mix,other
Adoption,Dog,Spayed Female,52.0,Chihuahua Shorthair Mix,Tricolor
Adoption,Cat,Spayed Female,260.0,Domestic Shorthair Mix,Blue
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,Dog,Neutered Male,52.0,Miniature Poodle Mix,Tan
Adoption,Dog,Spayed Female,156.0,other,Chocolate/White
Euthanasia,Cat,Neutered Male,208.0,Domestic Shorthair Mix,Black
Adoption,Cat,Neutered Male,36.0,Domestic Shorthair Mix,Blue Tabby/White
Return_to_owner,Dog,Neutered Male,156.0,other,Black/Tan
Adoption,Dog,Spayed Female,104.0,other,Black/White
Return_to_owner,Dog,Spayed Female,52.0,Labrador Retriever Mix,White
Adoption,Dog,Neutered Male,36.0,other,Tricolor
Transfer,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Black/White
Transfer,Cat,Intact Male,1.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Tortie
Transfer,Cat,Intact Male,18.0,Domestic Shorthair Mix,Black/White
Adoption,Dog,Spayed Female,104.0,Dachshund Mix,Black/Brown
Adoption,Dog,Spayed Female,312.0,Border Collie Mix,Black/White
Adoption,Cat,Neutered Male,13.5,Domestic Longhair Mix,Black
Adoption,Cat,Neutered Male,9.0,Domestic Longhair Mix,Blue
Euthanasia,Dog,Intact Male,104.0,other,Brown
Euthanasia,Dog,Spayed Female,104.0,Pit Bull Mix,White/Brown
Return_to_owner,Dog,Spayed Female,104.0,Labrador Retriever Mix,Black
Adoption,Dog,Spayed Female,9.0,Pit Bull Mix,White/Brown Brindle
Adoption,Dog,Spayed Female,45.0,other,Black/Tan
Return_to_owner,Dog,Spayed Female,52.0,other,Black/Tan
Adoption,Dog,Spayed Female,52.0,Rottweiler Mix,Black/Tan
Adoption,Cat,Spayed Female,468.0,Domestic Shorthair Mix,Calico
Adoption,Dog,Neutered Male,27.0,German Shepherd Mix,other
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Blue
Adoption,Cat,Neutered Male,18.0,other,other
Transfer,Dog,Spayed Female,260.0,Australian Cattle Dog Mix,other
Return_to_owner,Dog,Neutered Male,260.0,Chihuahua Shorthair Mix,Black/White
Adoption,Dog,Spayed Female,22.5,other,Yellow
Transfer,Cat,Neutered Male,156.0,other,Seal Point
Adoption,Dog,Neutered Male,27.0,Chihuahua Shorthair Mix,Black/White
Transfer,Dog,Intact Female,22.5,Shih Tzu Mix,other
Adoption,Dog,Neutered Male,13.5,Labrador Retriever Mix,Black
Transfer,Cat,Intact Male,2.0,Domestic Shorthair Mix,Brown Tabby/White
Euthanasia,Dog,Neutered Male,52.0,other,other
Adoption,Dog,Spayed Female,312.0,other,Tan/White
Transfer,Cat,Intact Male,13.5,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Intact Female,0.0,other,White
Adoption,Dog,Spayed Female,49.5,Labrador Retriever Mix,Black/White
Transfer,Cat,Intact Female,624.0,Domestic Medium Hair Mix,Black/White
Adoption,Dog,Neutered Male,45.0,Pit Bull Mix,Black/White
Transfer,Dog,Intact Male,208.0,other,Tan
Return_to_owner,Dog,Neutered Male,45.0,other,Black
Transfer,Dog,Spayed Female,22.5,Labrador Retriever Mix,Tan
Transfer,Cat,Spayed Female,52.0,Domestic Shorthair Mix,White/Black
Transfer,Dog,Neutered Male,104.0,other,Brown/White
Transfer,Cat,Spayed Female,156.0,other,Calico
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Spayed Female,260.0,other,other
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Intact Female,3.0,Domestic Medium Hair Mix,Blue Tabby
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,Dog,Intact Female,22.5,German Shepherd Mix,Black/Tan
Adoption,Dog,Neutered Male,104.0,Labrador Retriever Mix,Black
Return_to_owner,Dog,Intact Male,52.0,other,Tan/Black
Transfer,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,Tan
Transfer,Cat,Intact Female,9.0,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,Dog,Spayed Female,156.0,Pit Bull Mix,Blue/White
Return_to_owner,Dog,Neutered Male,260.0,German Shepherd Mix,Brown/Black
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Dog,Intact Female,780.0,German Shepherd Mix,Brown/Black
Return_to_owner,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,Red/White
Adoption,Dog,Neutered Male,45.0,American Bulldog Mix,other
Transfer,Dog,Intact Male,4.0,other,Red
Adoption,Dog,Neutered Male,52.0,German Shepherd Mix,Buff
Return_to_owner,Dog,Neutered Male,40.5,Labrador Retriever Mix,Red
Adoption,Cat,Spayed Female,9.0,Domestic Longhair Mix,Black
Return_to_owner,Dog,Neutered Male,260.0,other,White
Adoption,Dog,Intact Male,4.5,Australian Shepherd Mix,other
Transfer,Dog,Neutered Male,27.0,other,Black
Euthanasia,Cat,Intact Male,104.0,Domestic Medium Hair Mix,Orange Tabby/White
Transfer,Cat,Intact Female,45.0,Domestic Shorthair Mix,Brown Tabby/White
Euthanasia,Cat,Intact Male,208.0,Domestic Medium Hair Mix,Black
Return_to_owner,Dog,Neutered Male,156.0,other,Sable
Adoption,Dog,Spayed Female,104.0,Pit Bull Mix,Brown Brindle
Transfer,Cat,Intact Male,104.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Spayed Female,104.0,other,White
Transfer,Cat,Neutered Male,208.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Dog,Neutered Male,104.0,Rat Terrier Mix,White/Black
Adoption,Dog,Neutered Male,104.0,German Shepherd Mix,Tricolor
Adoption,Dog,Neutered Male,27.0,Chihuahua Shorthair Mix,Brown
Euthanasia,Dog,Neutered Male,728.0,Border Collie Mix,Black/White
Adoption,Cat,Neutered Male,22.5,Domestic Shorthair Mix,Black
Return_to_owner,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Spayed Female,104.0,Domestic Shorthair Mix,Blue
Adoption,Dog,Neutered Male,18.0,other,Red/White
Transfer,Cat,Intact Female,4.5,Domestic Medium Hair Mix,Black
Transfer,Dog,Spayed Female,416.0,other,Tan/White
Transfer,Dog,Spayed Female,104.0,Dachshund Mix,Red
Return_to_owner,Dog,Intact Male,208.0,Pit Bull Mix,Brown/White
Adoption,Dog,Spayed Female,260.0,Chihuahua Shorthair Mix,Brown
Transfer,Dog,Intact Female,4.5,Miniature Poodle Mix,Black/White
Adoption,Cat,Spayed Female,22.5,Domestic Shorthair Mix,Torbie
Transfer,Cat,Intact Female,9.0,Domestic Shorthair Mix,Orange Tabby
Adoption,Cat,Spayed Female,22.5,Domestic Shorthair Mix,other
Adoption,Dog,Spayed Female,9.0,other,Black/White
Adoption,Dog,Neutered Male,156.0,other,Black/White
Transfer,Dog,Intact Female,52.0,other,Tan
Adoption,Dog,Neutered Male,45.0,other,Black/White
Transfer,Dog,Intact Male,156.0,Boxer Mix,Brown/White
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Transfer,Cat,Intact Male,27.0,Domestic Shorthair Mix,Orange Tabby
Died,Cat,Intact Male,4.5,Domestic Shorthair Mix,Black/White
Adoption,Dog,Neutered Male,312.0,other,other
Euthanasia,Cat,Intact Female,780.0,Domestic Shorthair Mix,Black
Adoption,Dog,Neutered Male,52.0,other,other
Return_to_owner,Dog,Spayed Female,208.0,other,other
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Neutered Male,312.0,Boxer Mix,Brown/White
Return_to_owner,Dog,Neutered Male,208.0,Labrador Retriever Mix,Black/White
Return_to_owner,Dog,Intact Male,156.0,Pit Bull Mix,Brown Brindle/White
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,Torbie
Adoption,Cat,Neutered Male,13.5,Domestic Shorthair Mix,Black
Transfer,Dog,Neutered Male,22.5,Labrador Retriever Mix,other
Adoption,Dog,Neutered Male,9.0,Labrador Retriever Mix,Black
Adoption,Dog,Neutered Male,13.5,Chihuahua Shorthair Mix,Black/Tan
Return_to_owner,Dog,Neutered Male,208.0,Rat Terrier Mix,other
Adoption,Dog,Neutered Male,572.0,other,White
Adoption,Cat,Spayed Female,52.0,Domestic Medium Hair Mix,Calico
Adoption,Dog,Intact Male,9.0,Labrador Retriever Mix,other
Return_to_owner,Dog,Neutered Male,260.0,other,Black/Tan
Transfer,Cat,Intact Female,156.0,Domestic Shorthair Mix,Tortie
Adoption,Cat,Spayed Female,104.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Dog,Neutered Male,468.0,Dachshund Mix,Black/Tan
Return_to_owner,Dog,Neutered Male,104.0,Pit Bull Mix,Black/White
Transfer,Dog,Neutered Male,208.0,other,White
Transfer,Dog,Spayed Female,104.0,other,Tricolor
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Dog,Spayed Female,9.0,other,Black/White
Adoption,Cat,Neutered Male,52.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Cat,Intact Male,4.5,Domestic Shorthair Mix,Black
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Cat,Spayed Female,31.5,Domestic Shorthair Mix,Orange Tabby
Transfer,Dog,Spayed Female,52.0,other,Red
Adoption,Dog,Neutered Male,156.0,Boxer Mix,White/Brown Brindle
Adoption,Dog,Spayed Female,45.0,Labrador Retriever Mix,Black
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Dog,Intact Male,156.0,other,Buff
Adoption,Dog,Spayed Female,9.0,other,Blue/White
Transfer,Dog,Neutered Male,22.5,German Shepherd Mix,White
Transfer,Cat,Neutered Male,156.0,Domestic Shorthair Mix,Blue Tabby
Return_to_owner,Dog,Intact Female,52.0,Pit Bull Mix,Brown
Adoption,Dog,Spayed Female,52.0,Pit Bull Mix,other
Adoption,Dog,Neutered Male,9.0,other,Black
Transfer,Dog,Spayed Female,31.5,other,Black/White
Adoption,Dog,Spayed Female,52.0,Chihuahua Longhair Mix,Red/White
Adoption,Dog,Spayed Female,156.0,Chihuahua Shorthair Mix,Tan
Adoption,Dog,Neutered Male,104.0,other,White/Brown
Adoption,Dog,Neutered Male,208.0,other,other
Transfer,Cat,Intact Female,468.0,Domestic Medium Hair Mix,Brown Tabby
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Cream Tabby
Adoption,Cat,Neutered Male,13.5,Domestic Shorthair Mix,other
Euthanasia,Cat,Spayed Female,624.0,Domestic Medium Hair Mix,Black/White
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,Black
Transfer,Dog,Spayed Female,260.0,Boxer Mix,White/Brown
Return_to_owner,Dog,Spayed Female,18.0,Labrador Retriever Mix,other
Transfer,Dog,Neutered Male,364.0,Yorkshire Terrier Mix,Buff
